"site","thresh","trapAvg","t.thresh","y.thresh","field_domain_id","field_site_name","field_site_type","field_site_subtype","field_colocated_site","field_site_host","field_site_url","field_nonneon_research_allowed","field_latitude","field_longitude","field_geodetic_datum","field_utm_northing","field_utm_easting","field_utm_zone","field_site_county","field_site_state","field_site_country","field_mean_evelation_m","field_minimum_elevation_m","field_maximum_elevation_m","field_mean_annual_temperature_C","field_mean_annual_precipitation_mm","field_dominant_wind_direction","field_mean_canopy_height_m","field_dominant_nlcd_classes","field_dominant_plant_species","field_usgs_huc","field_watership_name","field_watership_size_km2","field_lake_depth_mean_m","field_lake_depth_max_m","field_tower_height_m","field_megapit_soil_family","field_soil_subgroup","field_avg_number_of_green_days","field_avg_green_increase_doy","field_avg_green_max_doy","field_avg_green_decrease_doy","field_avg_green_min_doy","field_phenocams","field_number_tower_levels","domainName","turnover","years"
"ABBY",12.4826629701756,227.714285714286,151.128816995003,0.663677364469899,"D16","Abby Road NEON","Gradient Terrestrial","","","Washington Department of Natural Resources","https://www.dnr.wa.gov/","No",45.762439,-122.330317,"WGS84",5067870.43,552075.5426,"10N","Clark","WA","US",365,NA,708,"10.0°C",2451,"",34,"Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub",NA,"","",NA,NA,NA,19,"Fine-lomay - isotic - mesic - Andic Humudepts","Andic Humudepts",190,110,165,205,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D16.ABBY.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D16.ABBY.DP1.00042/",5,"Pacific Northwest",0.439603092234671,6
"BARR",3.05536249908497,69.4,26.8735772516786,0.387227337920441,"D18","Utqiaġvik NEON","Gradient Terrestrial","","","Ukpeagvik Inupiat Corporation","http://www.north-slope.org/departments/planning-community-services/applications-and-forms","Yes",71.28241,-156.61936,"WGS84",7910571.99,585246.1299,"4N","North Slope","AK","US",4,0,13,"-12.0°C",105,"E",0.3,"Emergent Herbaceous Wetlands",NA,"","",NA,NA,NA,9,"Fine-silty - mixed - superactive - nonacid - pergelic Typic Histoturbels","Typic Histoturbels",45,175,195,210,"220","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D18.BARR.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D18.BARR.DP1.00042/",4,"Tundra",0.47172619047619,4
"BART",10.0272299766739,292.625,163.463020219492,0.558609210489508,"D01","Bartlett Experimental Forest NEON","Gradient Terrestrial","","","White Mountain National Forest, U.S. Forest Service (Northern Research Station)","https://www.nrs.fs.fed.us/ef/locations/nh/bartlett/","Yes",44.063889,-71.287375,"WGS84",4881511.55,316812.1595,"19N","Carroll","NH","US",274,230,655,"6.2°C",1325,"S",23,"Deciduous Forest|Evergreen Forest|Mixed Forest",NA,"","",NA,NA,NA,35,"Coarse-loamy - isotic - frigid Aquic Haplorthods","Aquic Haplorthods",180,120,170,220,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D01.BART.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D01.BART.DP1.00042/",6,"Northeast",0.230446422380061,7
"BLAN",23.3169352905432,389,425.303091640803,1.09332414303548,"D02","Blandy Experimental Farm NEON","Gradient Terrestrial","","LEWI","University of Virginia|Casey Tree Farm","http://blandy.virginia.edu/research|https://caseytrees.org/about-us/casey-tree-farm/","Yes (Tower and TIS)|Very Limited",39.033698,-78.041788,"WGS84",4327545.88,753379.5421,"17N","Clarke","VA","US",183,119,193,"12.1°C",983,"NW",1,"Deciduous Forest|Pasture/Hay",NA,"","",NA,NA,NA,8,"Fine - mixed - subactive - mesic Ultic Hapludalfs","Ultic Hapludalfs",235,75,150,210,"310","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D02.BLAN.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D02.BLAN.DP1.00042/",4,"Mid-Atlantic",0.436855561445703,7
"BONA",4.35576325563559,155.5,411.497866204424,2.64628852864581,"D19","Caribou-Poker Creeks Research Watershed NEON","Core Terrestrial","","CARI","University of Alaska|Alaska Department of Natural Resources","https://www.uaf.edu/uaf/|http://dnr.alaska.gov/","Yes",65.15401,-147.50258,"WGS84",7225712.65,476436.7395,"6N","Fairbanks North Star","AK","US",230,212,728,"-3.0°C",262,"W",8,"Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands",NA,"","",NA,NA,NA,19,"Coarse-silty - mixed - superactive - subgelic Typic Histoturbels","Typic Histoturbels",115,135,180,210,"250","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D19.BONA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D19.BONA.DP1.00042/",5,"Taiga",0.516410256410256,5
"CLBJ",24.4702480826858,362.285714285714,1651.40762347807,4.55830179982116,"D11","Lyndon B. Johnson National Grassland NEON","Core Terrestrial","","PRIN","US Forest Service","https://www.fs.usda.gov/detail/texas/about-forest/districts/?cid=fswdev3_008440","Very Limited",33.40123,-97.57,"WGS84",3696682.44,632982.2183,"14N","Wise","TX","US",272,258,343,"17.5°C",926,"S",13,"Deciduous Forest|Grassland/Herbaceous",NA,"","",NA,NA,NA,22,"Fine - mixed - active - thermic Udic Paleustalfs","Udic Paleustalfs",260,60,135,175,"295|320","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D11.CLBJ.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D11.CLBJ.DP1.00042/",5,"Southern Rockies/Colorado Plateau",0.787439435000411,6
"CPER",13.8869435386869,361.875,217.788113596281,0.601832438262608,"D10","Central Plains Experimental Range NEON","Core Terrestrial","","","USDA-Agricultural Research Service","https://www.ars.usda.gov/plains-area/fort-collins-co/center-for-agricultural-resources-research/rangeland-resources-systems-research/docs/rrsr/central-plains-experimental-research-location/","Yes",40.815536,-104.74559,"WGS84",4518311.06,521454.7706,"13N","Weld","CO","US",1654,1601,1686,"8.6°C",344,"NW",0.4,"Grassland/Herbaceous",NA,"","",NA,NA,NA,9,"Fine-loamy - mixed - superactive - mesic Aridic Argiustolls","Aridic Argiustolls",260,90,165,210,"350","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D10.CPER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D10.CPER.DP1.00042/",4,"Southern Plains",0.47179080756759,7
"DCFS",23.789174862176,249.666666666667,410.421385070391,1.64387737678394,"D09","Dakota Coteau Field Site NEON","Gradient Terrestrial","","PRLA","North Dakota Land Trust","https://www.land.nd.gov/","Yes",47.16165,-99.10656,"WGS84",5223133.12,491923.484,"14N","Stutsman","ND","US",575,494,592,"4.9°C",490,"NW",0.4,"Grassland/Herbaceous",NA,"","",NA,NA,NA,8,"Fine-loamy - mixed - superactive - frigid Typic Haplustolls","Typic Haplustolls",170,120,180,205,"290","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D09.DCFS.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D09.DCFS.DP1.00042/",4,"Northern Plains",0.493343201848207,5
"DEJU",10.6719367740767,197.714285714286,733.408969330997,3.70943842869724,"D19","Delta Junction NEON","Gradient Terrestrial","","","Bureau of Land Management","https://www.blm.gov/office/eastern-interior-field-office","Yes",63.88112,-145.75136,"WGS84",7084367.22,561330.0608,"6N","Southeast Fairbanks","AK","US",517,444,581,"-3.0°C",305,"E",10,"Evergreen Forest|Shrub/Scrub|Woody Wetlands",NA,"","",NA,NA,NA,22,"Coarse-loamy - mixed - superactive Typic Haplocryepts","Typic Haplocryepts",120,130,170,210,"250","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D19.DEJU.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D19.DEJU.DP1.00042/",5,"Taiga",0.546232690311638,6
"DELA",16.5534505643441,261,660.044699821523,2.5289068958679,"D08","Dead Lake NEON","Gradient Terrestrial","","BLWA","US Army Corps of Engineers","https://www.sam.usace.army.mil/","Limited",32.541727,-87.803877,"WGS84",3600769.46,424518.299,"16N","Greene","AL","US",25,21,41,"17.6°C",1372,"SW",30,"Evergreen Forest|Woody Wetlands",NA,"","",NA,NA,NA,42,"Fine - mixed - semiactive - thermic Aquic Paleudults","Aquic Paleudults",270,60,135,205,"330","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D08.DELA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D08.DELA.DP1.00042/",6,"Ozarks Complex",0.584079118640802,7
"DSNY",9.79684107105123,288.75,490.775283228808,1.69965466053267,"D03","Disney Wilderness Preserve NEON","Gradient Terrestrial","","","The Nature Conservancy","https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/the-disney-wilderness-preserve/","Yes",28.12505,-81.43619,"WGS84",3111130.69,457161.0924,"17N","Osceola","FL","US",20,15,22,"22.5°C",1216,"E",1.5,"Pasture/Hay|Woody Wetlands",NA,"","",NA,NA,NA,8,"Sandy - siliceous - hyperthermic Aeric Alaquods","Aeric Alaquods",260,60,140,190,"320","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D03.DSNY.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D03.DSNY.DP1.00042/",4,"Southeast",0.507871528057863,7
"GRSM",13.6794288559172,298.125,175.946531729537,0.590177045633667,"D07","Great Smoky Mountains National Park NEON","Gradient Terrestrial","","LECO","National Park Service","https://irma.nps.gov/rprs/","Yes",35.68896,-83.50195,"WGS84",3952335.29,273599.8765,"17N","Sevier","TN","US",575,426,1978,"13.1°C",1375,"NW",30,"Deciduous Forest|Evergreen Forest",NA,"","",NA,NA,NA,45,"Loamy-skeletal - isotic - mesic Typic Humudepts","Typic Humudepts",220,90,155,215,"310","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D07.GRSM.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D07.GRSM.DP1.00042/",6,"Central Plains",0.390673909642961,7
"HARV",10.6644951509534,295.111111111111,198.888210467861,0.673943484266094,"D01","Harvard Forest & Quabbin Watershed NEON","Core Terrestrial","","HOPB","Massachusetts DCR Division of Water Supply Protection|Harvard University","https://www.mass.gov/service-details/watershed-permits|https://harvardforest.fas.harvard.edu/conducting-research","Limited|Yes",42.53691,-72.17265,"WGS84",4713265.04,732183.1938,"18N","Worcester","MA","US",348,160,415,"7.4°C",1199,"NW",26,"Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands",NA,"","",NA,NA,NA,39,"Coarse-loamy over sandy or sandy-skeletal - mixed - semiactive - frigid Oxyaquic Dystrudepts","Oxyaquic Dystrudepts",210,110,160,220,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D01.HARV.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D01.HARV.DP1.00042/",6,"Northeast",0.320349068777183,8
"HEAL",11.194892427729,190.714285714286,780.127348691295,4.0905553863963,"D19","Healy NEON","Gradient Terrestrial","","","Alaska Department of Natural Resources","http://dnr.alaska.gov/","Yes",63.875798,-149.21335,"WGS84",7085047.87,391276.5986,"6N","Denali","AK","US",677,588,717,"-1.3°C",385,"NW",0.3,"Dwarf Scrub|Evergreen Forest|Shrub/Scrub",NA,"","",NA,NA,NA,9,"Coarse-silty - mixed - superactive - subgelic Typic Histoturbels","Typic Histoturbels",110,135,180,210,"245","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D19.HEAL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D19.HEAL.DP1.00042/",4,"Taiga",0.545164995822891,6
"JERC",23.7648864267921,338.5,2356.89654528308,6.96276675120557,"D03","The Jones Center At Ichauway NEON","Gradient Terrestrial","","FLNT","Robert Woodruff Foundation, Inc.|The Jones Center at Ichauway","http://www.jonesctr.org/research/|https://www.jonesctr.org/","Yes",31.194839,-84.468623,"WGS84",3453956.37,741205.7224,"16N","Baker","GA","US",47,29,55,"19.2°C",1308,"NE",27,"Cultivated Crops|Deciduous Forest|Evergreen Forest|Mixed Forest",NA,"","",NA,NA,NA,42,"Loamy - kaolinitic - thermic Arenic Kandiudults","Arenic Kandiudults",220,90,175,220,"310","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D03.JERC.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D03.JERC.DP1.00042/",6,"Southeast",0.609294844374531,7
"JORN",4.45581975954418,400,769.854242127445,1.92463560531861,"D14","Jornada Experimental Range NEON","Gradient Terrestrial","","","USDA-Agricultural Research Service","https://jornada.nmsu.edu/","Yes",32.590694,-106.84254,"WGS84",3607409.16,327074.62,"13N","Doña Ana","NM","US",1324,1316,1333,"15.7°C",271,"SW",0.4,"Shrub/Scrub",NA,"","",NA,NA,NA,8,"Coarse-loamy - mixed - superactive - thermic Typic Petrocalcids","Typic Petrocalcids",260,80,185,245,"340","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D14.JORN.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D14.JORN.DP1.00042/",4,"Northern Rockies",0.589295410471881,5
"KONA",21.0390440059833,269.166666666667,262.529073735981,0.97534021202222,"D06","Konza Prairie Agroecosystem NEON","Gradient Terrestrial","","KING","Kansas State University","https://kpbs.konza.k-state.edu/scientist-information/permits.html","Yes",39.110446,-96.612935,"WGS84",4331745.28,706389.4538,"14N","Riley","KS","US",323,312,359,"12.7°C",850,"SSW",NA,"Cultivated Crops",NA,"","",NA,NA,NA,8,"Fine - smectitic - mesic Pachic Vertic Argiudolls","Pachic Vertic Argiudolls",210,90,160,210,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONA.DP1.00042/",4,"Prairie Peninsula",0.472315179335802,5
"KONZ",12.8345989662725,346.571428571429,361.438337106639,1.04289709799937,"D06","Konza Prairie Biological Station NEON","Core Terrestrial","","","The Nature Conservancy, Kansas State University","https://kpbs.konza.k-state.edu/scientist-information/permits.html","Yes",39.100774,-96.563075,"WGS84",4330786.53,710729.798,"14N","Riley","KS","US",414,333,443,"12.4°C",870,"SSW",1.5,"Deciduous Forest|Grassland/Herbaceous",NA,"","",NA,NA,NA,8,"Fine - smectitic - mesic Pachic Udertic Argiustolls","Pachic Udertic Argiustolls",210,90,160,210,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONZ.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONZ.DP1.00042/",4,"Prairie Peninsula",0.541307046379321,6
"LAJA",10.9458726565729,352.285714285714,647.297908008052,1.83742309653543,"D04","Lajas Experimental Station NEON","Gradient Terrestrial","","","University of Puerto Rico","","Limited",18.021261,-67.076889,"WGS84",1993593.87,703591.1281,"19N","Lajas Municipio","PR","US",16,13,41,"25.0°C",830,"SSE",0.4,"Cultivated Crops|Grassland/Herbaceous|Pasture/Hay",NA,"","",NA,NA,NA,8,"Fine - mixed - superactive - isohyperthermic Sodic Haplusterts","Sodic Haplusterts",365,NA,NA,NA,"","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D04.LAJA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D04.LAJA.DP1.00042/",4,"Atlantic Neotropical",0.547644335511983,6
"LENO",21.5164008674243,343,852.741697606856,2.48612739827072,"D08","Lenoir Landing NEON","Gradient Terrestrial","","TOMB","US Fish and Wildlife Service|US Army Corps of Engineers","https://www.fws.gov/refuge/choctaw/|https://www.sam.usace.army.mil/","Yes|Limited",31.853861,-88.161181,"WGS84",3524827.17,390139.6172,"16N","Choctaw","AL","US",13,NA,NA,"18.1°C",1386,"N",35,"Deciduous Forest|Woody Wetlands",NA,"","",NA,NA,NA,47,"Fine - mixed - active - acid - thermic Vertic Epiaquepts","Vertic Epiaquepts",265,70,145,200,"335","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D08.LENO.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D08.LENO.DP1.00042/",6,"Ozarks Complex",0.510478375443615,5
"MLBS",12.2990488639605,218.166666666667,98.5615327627754,0.451771731532966,"D07","Mountain Lake Biological Station NEON","Gradient Terrestrial","","","George Washington and Jefferson National Forest|University of Virginia","https://www.fs.usda.gov/gwj/|https://mlbs.virginia.edu/resapp","Limited|Yes",37.378314,-80.524847,"WGS84",4136943.44,542067.64,"17N","Giles","VA","US",1170,752,1320,"8.8°C",1227,"WNW",18,"Deciduous Forest",NA,"","",NA,NA,NA,29,"Coarse-loamy - siliceous - semiactive - frigid Fluvaquents","Fluvaquents",200,110,160,220,"310","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D07.MLBS.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D07.MLBS.DP1.00042/",6,"Central Plains",0.547034784825483,5
